Product Title,Price,Product Link
Funny Data Analyst For Men Software Engineering Scientist T-Shirt,21.99,https://www.amazon.com//sspa/click?ie=UTF8&spc=MToyOTM1MTYwOTEzNzE5MzMwOjE3NDA5NTAzNzM6c3BfYXRmOjIwMDA5MDQ0MjMxMTcxMTo6MDo6&url=%2FData-Analyst-Software-Engineering-Scientist%2Fdp%2FB09BVYRCLB%2Fref%3Dsr_1_1_sspa%3Fcrid%3DM7SWQ9FKTZG9%26dib%3DeyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4%26dib_tag%3Dse%26keywords%3Ddata%252Banalyst%252Btshirt%26qid%3D1740950373%26sprefix%3Ddata%252Banalyst%252Btshirt%252Caps%252C121%26sr%3D8-1-spons%26xpid%3D8-6USGCdPy3cd%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
That Wasn't Very Data Driven of You Data Analyst Funny Cat T-Shirt,17.99,https://www.amazon.com//sspa/click?ie=UTF8&spc=MToyOTM1MTYwOTEzNzE5MzMwOjE3NDA5NTAzNzM6c3BfYXRmOjMwMDY0NjkzMTYxNzkwMjo6MDo6&url=%2FWasnt-Data-Driven-Analyst-T-Shirt%2Fdp%2FB0DTZ5Q175%2Fref%3Dsr_1_2_sspa%3Fcrid%3DM7SWQ9FKTZG9%26dib%3DeyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4%26dib_tag%3Dse%26keywords%3Ddata%252Banalyst%252Btshirt%26qid%3D1740950373%26sprefix%3Ddata%252Banalyst%252Btshirt%252Caps%252C121%26sr%3D8-2-spons%26xpid%3D8-6USGCdPy3cd%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
That Wasn't Very Data Driven of You Funny Data Analyst T-Shirt,16.97,https://www.amazon.com//sspa/click?ie=UTF8&spc=MToyOTM1MTYwOTEzNzE5MzMwOjE3NDA5NTAzNzM6c3BfYXRmOjMwMDU1NTQ4NjAyODMwMjo6MDo6&url=%2FThat-Wasnt-Very-Data-Driven%2Fdp%2FB0DK8131V5%2Fref%3Dsr_1_3_sspa%3Fcrid%3DM7SWQ9FKTZG9%26dib%3DeyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4%26dib_tag%3Dse%26keywords%3Ddata%252Banalyst%252Btshirt%26qid%3D1740950373%26sprefix%3Ddata%252Banalyst%252Btshirt%252Caps%252C121%26sr%3D8-3-spons%26xpid%3D8-6USGCdPy3cd%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Data Analyst Definition Data Scientist Data Science Expert T-Shirt,19.99,https://www.amazon.com//sspa/click?ie=UTF8&spc=MToyOTM1MTYwOTEzNzE5MzMwOjE3NDA5NTAzNzM6c3BfYXRmOjMwMDE1OTQ2Mjk0MDIwMjo6MDo6&url=%2FData-Analyst-Definition-Scientist-Expert%2Fdp%2FB0CVTSG4BB%2Fref%3Dsr_1_4_sspa%3Fcrid%3DM7SWQ9FKTZG9%26dib%3DeyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4%26dib_tag%3Dse%26keywords%3Ddata%252Banalyst%252Btshirt%26qid%3D1740950373%26sprefix%3Ddata%252Banalyst%252Btshirt%252Caps%252C121%26sr%3D8-4-spons%26xpid%3D8-6USGCdPy3cd%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Got Data Funny Business Data Analyst T-Shirt,15.99,https://www.amazon.com//Funny-Data-Systems-Business-Analyst/dp/B07FNW9FGJ/ref=sr_1_5?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-5&xpid=8-6USGCdPy3cd
funny data analyst definition data scientist T-Shirt,19.99,https://www.amazon.com//funny-analyst-definition-scientist-t-shirt/dp/B07NLP2PKY/ref=sr_1_6?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-6&xpid=8-6USGCdPy3cd
That Wasn't Very Data Driven of You Funny Data Analyst Geek T-Shirt,16.95,https://www.amazon.com//Data-Driven-Funny-Analyst-T-Shirt/dp/B0DJ7Y7WD2/ref=sr_1_7?crid=M7SWQ9FKTZG9&dib=eyJ2IjoiMSJ9.PM2zhQFx_lfPnddZwr05Dh2kKIJiLMVVwxBIXUeMl_Y8VpgYKh2ElOifFAUbi1_S_kZX4tMl5av4G8H-zhuLG3KN1zXYAwdu-FGlCLTUMLs1zBW-8Zf3WtugvxTIg-eRBHyvhW4LLXwgmSWRYDXgsLQ11-ecKKlgkUE0B7Sxzu2zO2eOLk-3Q0lDSU4b5JN9xiiXJg_wYv41tmK6GBZHIp8IvV4S73vSTB_Jz93dMi2mMa2V4Gg864ifN5t-gCVb6sgWXBDgnZJJNIyzVRszqd1yQ0aOfS69-D_9cwXfPo8.s2Bc2Ouj-jWs-amLRzBHLiZb_ppcCZdij10Mh1Vx_n4&dib_tag=se&keywords=data%2Banalyst%2Btshirt&qid=1740950373&sprefix=data%2Banalyst%2Btshirt%2Caps%2C121&sr=8-7&xpid=8-6USGCdPy3cd
Pi Day T Shirt Kids Mens Graphic Math School Days Novelty Teachers Funny T-Shirt,14.99,https://www.amazon.com//sspa/click?ie=UTF8&spc=MTo1NTg1MzMwMzA5ODQ1OTU6MTc0MDk1MDM3MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMDMyMTcwNzY4NjgxOjowOjo&url=%2FDelicious-Sarcastic-Humor-Funny-Graphic%2Fdp%2FB00NMFDQ2O%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%253Aamzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%26crid%3DM7SWQ9FKTZG9%26cv_ct_cx%3Ddata%252Banalyst%252Btshirt%26keywords%3Ddata%252Banalyst%252Btshirt%26pd_rd_i%3DB00NMFDQ2O%26pd_rd_r%3Dc3bd1e0f-e74f-4ffc-a232-48113bd3c088%26pd_rd_w%3DFurcR%26pd_rd_wg%3D4IM32%26pf_rd_p%3Deb3f6912-14ce-4b04-826b-7094fb405ad6%26pf_rd_r%3DZK22065X185ZYKGEDXQS%26qid%3D1740950373%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Ddata%252Banalyst%252Btshirt%252Caps%252C121%26sr%3D1-1-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26xpid%3D8-6USGCdPy3cd%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Sarcasm Periodic Table Element Weird Science Joke Gift T-Shirt,19.95,https://www.amazon.com//sspa/click?ie=UTF8&spc=MTo1NTg1MzMwMzA5ODQ1OTU6MTc0MDk1MDM3MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMTE5MDg3MDYyNDk4OjoxOjo&url=%2FSarcasm-Periodic-Table-Element-Science%2Fdp%2FB07DMDK314%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%253Aamzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%26crid%3DM7SWQ9FKTZG9%26cv_ct_cx%3Ddata%252Banalyst%252Btshirt%26keywords%3Ddata%252Banalyst%252Btshirt%26pd_rd_i%3DB07DMDK314%26pd_rd_r%3Dc3bd1e0f-e74f-4ffc-a232-48113bd3c088%26pd_rd_w%3DFurcR%26pd_rd_wg%3D4IM32%26pf_rd_p%3Deb3f6912-14ce-4b04-826b-7094fb405ad6%26pf_rd_r%3DZK22065X185ZYKGEDXQS%26qid%3D1740950373%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Ddata%252Banalyst%252Btshirt%252Caps%252C121%26sr%3D1-2-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26xpid%3D8-6USGCdPy3cd%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Never Forget Mens Cassette Tape VHS Gamer Old School Mens Very Funny T Shirt,14.99,https://www.amazon.com//sspa/click?ie=UTF8&spc=MTo1NTg1MzMwMzA5ODQ1OTU6MTc0MDk1MDM3MzpzcF9zZWFyY2hfdGhlbWF0aWM6MjAwMDE2MjgzMzA1OTgxOjoyOjo&url=%2FNever-Forget-Funny-Novelty-Charcoal%2Fdp%2FB00NMFDE3K%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%253Aamzn1.sym.eb3f6912-14ce-4b04-826b-7094fb405ad6%26crid%3DM7SWQ9FKTZG9%26cv_ct_cx%3Ddata%252Banalyst%252Btshirt%26keywords%3Ddata%252Banalyst%252Btshirt%26pd_rd_i%3DB00NMFDE3K%26pd_rd_r%3Dc3bd1e0f-e74f-4ffc-a232-48113bd3c088%26pd_rd_w%3DFurcR%26pd_rd_wg%3D4IM32%26pf_rd_p%3Deb3f6912-14ce-4b04-826b-7094fb405ad6%26pf_rd_r%3DZK22065X185ZYKGEDXQS%26qid%3D1740950373%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Ddata%252Banalyst%252Btshirt%252Caps%252C121%26sr%3D1-3-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26xpid%3D8-6USGCdPy3cd%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
