Product Title,Price,Product Link
N/A,N/A,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
N/A,N/A,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
That Wasn't Very Data Driven of You Funny Data Analyst Geek T-Shirt,US $14.99,https://www.ebay.com/itm/146063611132?_skw=data%2Banalyst%2Btshirts&itmmeta=01JNCPKAMVC19MVMJR5M6T38CF&hash=item220211d4fc:g:sYMAAOSwBeNm-NMm&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1egRRcYZ9yAoLlAYn5yml%2Ff7vkeQ7wBuLYBgaPDg775sm2A3Bq4wRiff6TwEnT0W8%2FnqD69RdzNWWbP7k2mXoLEEEEkyKgBn8Z4iJS0oGQQJu8lYnuv9N%2F8BkSO4yBLD5FLO9UAHM7V9vRTLKuaXfP9M%2Fqu7C67iJ6n6byOpHTtcYldDOfiYtYNlvqgp5Whfp2AzImbACtcRcmwQALsJcLRO4BR9y733kEmsfdwaBILqqIg6r849IvAjqIU0mUTul0%3D%7Ctkp%3ABk9SR8qqzZarZQ
Funny Data Analyst That Wasn't Very Data Driven of You T-Shirt,US $14.99,https://www.ebay.com/itm/146113310188?_skw=data%2Banalyst%2Btshirts&itmmeta=01JNCPKAMW5KGTQNKAAWZDZNAQ&hash=item2205082dec:g:-9QAAOSwFWxnE74V&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1ehuDPzjdlwZJO1TYFJt%2F4ZtrQPVxNYMy%2F6hRZzZS55QiUARtmDdfo1Vd1B45fm6CQOxHbyH%2BBxujyps3Pd47Ff%2F95IHenDh8laQEhqR2%2BxGG8ROWHSG0IfoPTmTbubCAB2FERfFRRLUN3OQwquLc4QvWUwQe46%2B9XzGAlVtfjOZAEm3TVa7AbF1tGthay2WwM604ANbNlhii1vjJaE8WgdTA%2BGG50QnzOFipezOM2nQc4hkIprrzv47iUrGOOqV%2Fk%3D%7Ctkp%3ABk9SR8qqzZarZQ
Funny Data Analyst That Wasn't Very Data Driven of You T-Shirt,US $14.99,https://www.ebay.com/itm/146095688507?_skw=data%2Banalyst%2Btshirts&itmmeta=01JNCPKAMW3E94T44EVEW05G94&hash=item2203fb4b3b:g:h5wAAOSwsmpnChbH&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eO5PZOD8J5oTHoSLwVaZTLFfi5Xbtlkys77tqfDbulVaU2Bn8DIxB9XvvGvOmiB%2F05LCF9VwPJ8SZ68Zay4UQ2NcgQMiQd84lSX9AnCIL5cdlW%2BJ0yej7K0OFBpwV0413swMdBb%2BTCHFpSpBoM7M6D6Vszzxib3duoJQFPKiHBjs3PalJJLJTu%2ByGFI09Xpw9rgiyUPzn1VK6IxRnA75qf57ix1W4LKwcBnR3fMEIIbpeU4VQ7hTIB58naz63dxEP%2BPI1Cc4HAsyFUZlQgpY1E1XSVGgUTjPpakTwZjzxVDQ%3D%3D%7Ctkp%3ABk9SR8qqzZarZQ
Data Analyst Statistic Scientist Funny Data Engineer Nerd T-Shirt,US $16.97,https://www.ebay.com/itm/356624812441?_skw=data%2Banalyst%2Btshirts&itmmeta=01JNCPKAMW2BJTNZQMG7W9MXYK&hash=item53087ec999:g:g5QAAOSwaL5nw81u&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1ee4tkZnAlwT%2BYrKq29Va%2FV6n4BeuBrAkJmaDbWMChcD4HnMfuHNa%2BEfm%2B3O3mfG7xlX1AjxXuvkEhs6j7ClTpWjc54VwGNNQLyweXS%2BO5a%2B6XI05gidSAVJNUbt7UhCbQGjCAuetf8gQmZXaHjPV5gv0P9m4tdwwAKRyZsNeOrxv4D2E8W2dDK7UarSYX7H%2FBgwDHYlrlBxMh120aN72tZwTHkEP9LHovWT1ikbjs%2FDruHcbmmwM%2FnI%2B3fMUa3DXfe6q6lmxT0luzL6qc6R%2FAW18ETFaoQL9MUQEGJvvrgtQ%3D%3D%7Ctkp%3ABk9SR8qqzZarZQ
Personalized Analyst Unisex T-shirt Custom name Business Data Analyst Sand Blue,US $22.49,https://www.ebay.com/itm/186243325557?_skw=data%2Banalyst%2Btshirts&itmmeta=01JNCPKAMW8B8DD7Y5VWY7SYSE&hash=item2b5cf79e75:g:iNAAAOSw3mFlm7Ad&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cBxObtf%2Fw202ShoTSLZ433fh4N2yCVw82nw8HPOs1hgO5ADP%2BJ9jzl6DnyIgmgpk8mfkRascRV2X%2B5j1n%2FObnZGZMHZqGy7NU4gPr47vjCUhTHic%2BvkMQH6Yt7IxUK6X1IulGsInNzz9BavGHIcX9QsaV86O7Qi6AkDGvEGtRvf2CAd0n%2BgyzjJM3lHgzsywxh0GTs3At1rjwjzjUdqN0z1B3BUe2xAIDHdx3TLzSvtIaNIofVIUipkDNRpsPKZjo%3D%7Ctkp%3ABk9SR8qqzZarZQ
I Love My Data Analyst T shirt I Heart My Data Analyst Tee,US $16.95,https://www.ebay.com/itm/126624961405?_skw=data%2Banalyst%2Btshirts&itmmeta=01JNCPKAMWX0AQ88H0SE2FXP7H&hash=item1d7b6f937d:g:PiEAAOSwcnBmvFSF&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fZSWI2e%2F7Yl%2FhEHo9z%2FfpQfYfQTz%2FbiXUIHzX06QQ9CLdES6p42Vz6nIIK6ATJxqnhi6vRIUgcDxLdRQ7%2B1TkrK%2BuhkxHjsi%2BXz3U%2FeLWXe2dZQgsSUGCEatmbum9pqyngHcesKe%2FQZ6Xw1ZAH9CZNGRQ%2FyzESzsXQD%2Fq3v2m4old72Y6ZIlKwszzEy5TKTEzP0kPxRK9AZeZuxVP2GYTKYsmmQ30Ce8zliO8%2FjoMEqcU78%2FZq7UIAO9ySzhnKgNc%3D%7Ctkp%3ABk9SR8qqzZarZQ
Data Analyst In Progress T-Shirt Funny Data Analyst Tee Data Science Shirt,US $20.61,https://www.ebay.com/itm/276724676781?_skw=data%2Banalyst%2Btshirts&itmmeta=01JNCPKAMW24RJ6K8HZSVHK246&hash=item406e1378ad:g:KKsAAOSwGZxnMC72&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cb3uR0jkWeL2y3Iks%2BI%2FLIfi1kmdcCf468XaOOIgyuvRK%2Bw9D%2BmwNPOA3Ua6BJEs7VYAjRH5mZu4tK69heu%2FEOWRZIazKlFb7lAqBXwqDd3oN9wCj%2B5R2Nreq5U9CJrFiE961H5eQRVSWYpEs4wngqw%2Fk0FjSFRnzK6tTv9IKmIPjWSDWFtzAG7umwmZT4tArvugTUTeFcTBwJJxqdK34H%2Be4BI7JkFfrXRYapBThUSWxBYFBEEYHQpFD6cBUhhxs%3D%7Ctkp%3ABk9SR8qqzZarZQ
Limited For Data Analyst T-Shirt Made in the USA Size S to 5XL,US $21.78,https://www.ebay.com/itm/166515630729?_skw=data%2Banalyst%2Btshirts&itmmeta=01JNCPKAMW1899QYJ650XVQ3ZE&hash=item26c51ae289:g:b0wAAOSwlWJlhlRS&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eBh%2BZ%2Bv61Y9HH6MAA%2BYeWBVyNJYiWwjKxth5NB%2FIWQztTkfGWFfQDVFrahXB41rwHoxENdOu3QUycWW8rwQHk3pxBaFOOjwgb%2B2D1C5R6AClptRUpJ4vRDjIc0Zqfb98MyzKuO5Futnfj5rG0wGvMdc6q6ZIpceNt06gwxSqKal%2BvNypG0qiQIy94k7sdH%2BW8wyB0sa69MaU0ZWmiwaOl07GgtQQZv70cmMEP2zLWr3stG%2B%2FufN1Zk0GNNwnSfpnGdggGcov29AyJd7nGXjaNTBycCAp4kF29zNFzH6ll8fQ%3D%3D%7Ctkp%3ABk9SR8qqzZarZQ
